Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,5.025,0.085,9.273,-2.000
AI,5.034,0.085,21.811,-2.000
AI,4.993,0.085,15.429,-2.000
AI,4.953,0.085,10.978,-2.000
AI,4.913,0.085,7.848,-2.000
AI,4.873,0.265,5.692,-2.000
AI,4.802,0.265,9.977,-2.000
AI,4.730,0.265,6.707,-2.000
AI,4.656,0.265,4.522,-2.000
AI,4.581,0.265,3.018,-2.000
AI,4.506,0.016,1.991,-2.000
AI,4.464,0.016,25.323,-2.000
AI,4.423,0.016,17.825,-2.000
AI,4.382,0.016,12.574,-2.000
AI,4.342,0.016,8.867,-2.000
AI,4.302,0.122,6.326,-2.000
AI,4.247,0.122,4.340,-2.000
AI,4.192,0.122,3.108,-2.000
AI,4.137,0.122,2.239,-2.000
AI,4.081,0.122,1.627,-2.000
AI,4.026,0.158,1.195,-2.000
AI,3.999,0.158,23.979,-2.000
AI,3.972,0.158,16.770,-2.000
AI,3.945,0.158,11.725,-2.000
AI,3.917,0.158,8.164,-2.000
AI,3.890,0.297,5.721,-2.000
AI,3.874,0.297,21.709,-2.000
AI,3.859,0.297,15.214,-2.000
AI,3.843,0.297,10.669,-2.000
AI,3.828,0.297,7.468,-2.000
AI,3.812,0.005,5.264,-2.000
AI,3.845,0.005,17.550,-2.000
AI,3.878,0.005,12.298,-2.000
AI,3.911,0.005,8.586,-2.000
AI,3.944,0.005,6.039,-2.000
AI,3.977,0.217,4.241,-2.000
AI,3.927,0.217,19.435,-2.000
AI,3.878,0.217,13.614,-2.000
AI,3.828,0.217,9.496,-2.000
AI,3.779,0.217,6.690,-2.000
AI,3.729,0.129,4.709,-2.000
AI,3.755,0.129,16.209,-2.000
AI,3.780,0.129,11.345,-2.000
AI,3.805,0.129,7.914,-2.000
AI,3.831,0.129,5.555,-2.000
AI,3.856,0.079,3.892,-2.000
AI,3.871,0.079,8.622,-2.000
AI,3.885,0.079,6.059,-2.000
AI,3.900,0.079,4.250,-2.000
AI,3.914,0.079,2.979,-2.000
AI,3.929,0.061,2.089,-2.000
AI,3.941,0.061,17.466,-2.000
AI,3.953,0.061,12.228,-2.000
AI,3.964,0.061,8.528,-2.000
AI,3.976,0.061,5.992,-2.000
AI,3.988,0.211,4.203,-2.000
AI,4.009,0.211,13.952,-2.000
AI,4.030,0.211,9.772,-2.000
AI,4.050,0.211,6.829,-2.000
AI,4.071,0.211,4.797,-2.000
AI,4.092,0.066,3.369,-2.000
AI,4.048,0.066,5.902,-2.000
AI,4.004,0.066,4.138,-2.000
AI,3.959,0.066,2.899,-2.000
AI,3.915,0.066,2.030,-2.000
AI,3.871,0.238,1.421,-2.000
AI,3.884,0.238,16.165,-2.000
AI,3.842,0.238,11.316,-2.000
AI,3.799,0.238,7.896,-2.000
AI,3.757,0.238,5.544,-2.000
AI,3.714,0.285,3.886,-2.000
AI,3.738,0.285,12.582,-2.000
AI,3.763,0.285,8.784,-2.000
AI,3.787,0.285,6.185,-2.000
AI,3.811,0.285,4.351,-2.000
AI,3.836,0.212,3.063,-2.000
AI,3.781,0.212,9.831,-2.000
AI,3.726,0.212,6.878,-2.000
AI,3.672,0.212,4.843,-2.000
AI,3.618,0.212,3.417,-2.000
AI,3.565,0.152,2.425,-2.000
AI,3.542,0.152,20.170,-2.000
AI,3.520,0.152,14.164,-2.000
AI,3.500,0.152,9.969,-2.000
AI,3.481,0.152,7.025,-2.000
AI,3.462,0.155,10.091,0.400
