Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,3.041,0.027,15.708,-2.000
AI,3.041,0.027,31.079,-2.000
AI,3.006,0.027,22.714,-2.000
AI,2.971,0.027,16.739,-2.000
AI,2.936,0.027,12.434,-2.000
AI,2.903,0.290,9.361,-2.000
AI,2.938,0.290,42.296,-2.000
AI,2.975,0.290,30.052,-2.000
AI,3.013,0.290,21.381,-2.000
AI,3.053,0.290,15.233,-2.000
AI,3.094,0.027,10.827,-2.000
AI,3.088,0.027,43.178,-2.000
AI,3.082,0.027,29.992,-2.000
AI,3.078,0.027,20.774,-2.000
AI,3.075,0.027,14.331,-2.000
AI,3.073,0.128,9.830,-2.000
AI,3.052,0.128,7.916,-2.000
AI,3.031,0.128,5.525,-2.000
AI,3.010,0.128,3.851,-2.000
AI,2.990,0.128,2.686,-2.000
AI,2.969,0.202,1.878,-2.000
AI,2.948,0.202,33.284,-2.000
AI,2.927,0.202,23.275,-2.000
AI,2.906,0.202,16.262,-2.000
AI,2.886,0.202,11.349,-2.000
AI,2.865,0.359,7.879,-2.000
AI,2.849,0.359,26.432,-2.000
AI,2.834,0.359,18.551,-2.000
AI,2.818,0.359,13.038,-2.000
AI,2.803,0.359,9.145,-2.000
AI,2.788,0.004,6.488,-2.000
AI,2.810,0.004,23.986,-2.000
AI,2.832,0.004,16.807,-2.000
AI,2.854,0.004,11.779,-2.000
AI,2.876,0.004,8.228,-2.000
AI,2.898,0.171,5.787,-2.000
AI,2.854,0.171,29.580,-2.000
AI,2.811,0.171,20.722,-2.000
AI,2.767,0.171,14.524,-2.000
AI,2.723,0.171,10.187,-2.000
AI,2.680,0.215,7.136,-2.000
AI,2.672,0.215,27.552,-2.000
AI,2.664,0.215,19.292,-2.000
AI,2.656,0.215,13.510,-2.000
AI,2.649,0.215,9.420,-2.000
AI,2.641,0.064,6.631,-2.000
AI,2.651,0.064,14.225,-2.000
AI,2.661,0.064,9.959,-2.000
AI,2.671,0.064,6.957,-2.000
AI,2.681,0.064,4.885,-2.000
AI,2.691,0.021,3.428,-2.000
AI,2.699,0.021,33.500,-2.000
AI,2.707,0.021,23.453,-2.000
AI,2.715,0.021,16.419,-2.000
AI,2.724,0.021,11.496,-2.000
AI,2.732,0.179,8.023,-2.000
AI,2.742,0.179,28.442,-2.000
AI,2.752,0.179,19.895,-2.000
AI,2.762,0.179,13.912,-2.000
AI,2.773,0.179,9.723,-2.000
AI,2.783,0.198,6.774,-2.000
AI,2.744,0.198,30.086,-2.000
AI,2.705,0.198,21.059,-2.000
AI,2.667,0.198,14.739,-2.000
AI,2.628,0.198,10.316,-2.000
AI,2.590,0.321,7.201,-2.000
AI,2.577,0.321,40.935,-2.000
AI,2.623,0.321,28.663,-2.000
AI,2.669,0.321,20.073,-2.000
AI,2.715,0.321,14.060,-2.000
AI,2.761,0.267,9.852,-2.000
AI,2.666,0.267,36.498,-2.000
AI,2.572,0.267,25.556,-2.000
AI,2.478,0.267,17.902,-2.000
AI,2.384,0.267,12.550,-2.000
AI,2.291,0.175,8.773,-2.000
AI,2.230,0.175,18.246,-2.000
AI,2.171,0.175,12.811,-2.000
AI,2.113,0.175,8.981,-2.000
AI,2.056,0.175,6.380,-2.000
AI,2.001,0.204,4.572,-2.000
AI,1.926,0.204,25.104,-2.000
AI,1.851,0.204,17.612,-2.000
AI,1.776,0.204,12.358,-2.000
AI,1.701,0.204,8.639,-2.000
AI,1.626,0.206,6.080,-2.000
AI,1.558,0.206,34.047,-2.000
AI,1.492,0.206,23.663,-2.000
AI,1.427,0.206,16.374,-2.000
AI,1.364,0.206,11.255,-2.000
AI,1.302,0.248,7.631,-2.000
AI,1.266,0.248,8.308,-2.000
AI,1.252,0.248,5.819,-2.000
AI,1.244,0.248,4.068,-2.000
AI,1.236,0.248,2.841,-2.000
AI,1.228,0.179,1.984,-2.000
AI,1.229,0.179,14.893,-2.000
AI,1.231,0.179,10.431,-2.000
AI,1.233,0.179,7.286,-2.000
