Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,2.872,0.020,7.854,-2.000
AI,2.886,0.020,19.549,-2.000
AI,2.851,0.020,14.045,-2.000
AI,2.817,0.020,10.130,-2.000
AI,2.784,0.020,7.415,-2.000
AI,2.752,0.305,5.483,-2.000
AI,2.744,0.305,6.118,-2.000
AI,2.738,0.305,4.616,-2.000
AI,2.734,0.305,3.535,-2.000
AI,2.731,0.305,2.754,-2.000
AI,2.729,0.021,2.188,-2.000
AI,2.676,0.021,19.083,-2.000
AI,2.624,0.021,13.313,-2.000
AI,2.573,0.021,9.235,-2.000
AI,2.522,0.021,6.461,-2.000
AI,2.471,0.119,4.508,-2.000
AI,2.418,0.119,3.195,-2.000
AI,2.365,0.119,2.232,-2.000
AI,2.312,0.119,1.561,-2.000
AI,2.260,0.119,1.093,-2.000
AI,2.208,0.189,0.768,-2.000
AI,2.174,0.189,28.584,-2.000
AI,2.140,0.189,19.986,-2.000
AI,2.107,0.189,13.964,-2.000
AI,2.073,0.189,9.746,-2.000
AI,2.040,0.350,6.775,-2.000
AI,2.015,0.350,28.224,-2.000
AI,1.991,0.350,19.795,-2.000
AI,1.968,0.350,13.900,-2.000
AI,1.944,0.350,9.781,-2.000
AI,1.921,0.007,6.890,-2.000
AI,1.968,0.007,24.001,-2.000
AI,2.015,0.007,16.829,-2.000
AI,2.061,0.007,11.803,-2.000
AI,2.108,0.007,8.252,-2.000
AI,2.155,0.182,5.810,-2.000
AI,2.155,0.182,23.051,-2.000
AI,2.154,0.182,16.152,-2.000
AI,2.153,0.182,11.326,-2.000
AI,2.153,0.182,7.924,-2.000
AI,2.152,0.173,5.588,-2.000
AI,2.211,0.173,17.062,-2.000
AI,2.271,0.173,11.933,-2.000
AI,2.330,0.173,8.312,-2.000
AI,2.389,0.173,5.828,-2.000
AI,2.449,0.046,4.077,-2.000
AI,2.542,0.046,10.598,-2.000
AI,2.636,0.046,7.398,-2.000
AI,2.729,0.046,5.193,-2.000
AI,2.823,0.046,3.641,-2.000
AI,2.916,0.011,2.551,-2.000
AI,3.010,0.011,18.819,-2.000
AI,3.104,0.011,13.174,-2.000
AI,3.198,0.011,9.181,-2.000
AI,3.293,0.011,6.454,-2.000
AI,3.387,0.167,4.527,-2.000
AI,3.480,0.167,14.837,-2.000
AI,3.573,0.167,10.388,-2.000
AI,3.666,0.167,7.254,-2.000
AI,3.759,0.167,5.094,-2.000
AI,3.853,0.183,3.574,-2.000
AI,3.911,0.183,5.781,-2.000
AI,3.969,0.183,4.052,-2.000
AI,4.027,0.183,2.838,-2.000
AI,4.085,0.183,1.987,-2.000
AI,4.143,0.291,1.391,-2.000
AI,4.234,0.291,15.124,-2.000
AI,4.347,0.291,10.564,-2.000
