Label,Distance,StrafingIntensity,AngularVelocity
AI,4.500,0.064,20.344
AI,4.440,0.064,16.570
AI,4.379,0.064,13.062
AI,4.349,0.064,10.284
AI,4.343,0.064,8.093
AI,4.354,0.028,6.323
AI,4.335,0.028,41.622
AI,4.305,0.028,29.340
AI,4.268,0.028,20.733
AI,4.226,0.028,14.704
AI,4.178,0.021,10.484
AI,4.175,0.021,31.646
AI,4.178,0.021,22.146
AI,4.188,0.021,15.481
AI,4.202,0.021,10.805
AI,4.220,0.010,7.504
AI,4.127,0.010,2.337
AI,4.034,0.010,1.636
AI,3.942,0.010,1.148
AI,3.849,0.010,0.811
AI,3.756,0.025,0.582
AI,3.847,0.025,3.352
AI,3.939,0.025,2.344
AI,4.031,0.025,1.638
AI,4.122,0.025,1.146
AI,4.215,0.009,0.805
AI,4.293,0.009,8.682
AI,4.372,0.009,6.113
AI,4.451,0.009,4.304
AI,4.531,0.009,3.038
AI,4.612,0.049,2.158
AI,4.699,0.049,3.458
AI,4.787,0.049,2.416
AI,4.876,0.049,1.686
AI,4.965,0.049,1.178
AI,5.053,0.110,0.826
AI,4.982,0.110,5.161
AI,4.912,0.110,3.623
AI,4.842,0.110,2.553
AI,4.772,0.110,1.817
AI,4.703,0.077,1.323
AI,4.704,0.077,6.502
AI,4.706,0.077,4.561
AI,4.709,0.077,3.215
AI,4.713,0.077,2.300
AI,4.717,0.105,1.698
AI,4.737,0.105,3.779
AI,4.758,0.105,2.749
AI,4.778,0.105,2.057
AI,4.799,0.105,1.607
AI,4.820,0.092,1.327
AI,4.830,0.092,6.861
AI,4.840,0.092,4.902
AI,4.850,0.092,3.543
AI,4.860,0.092,2.614
AI,4.870,0.107,1.992
AI,4.884,0.107,4.986
AI,4.852,0.107,3.522
AI,4.820,0.107,2.508
AI,4.786,0.107,1.816
AI,4.751,0.025,1.353
AI,4.610,0.025,6.728
AI,4.469,0.025,4.743
AI,4.328,0.025,3.357
AI,4.188,0.025,2.401
AI,4.049,0.088,12.637
AI,3.529,0.088,3.434
AI,3.020,0.088,2.405
AI,2.523,0.088,1.684
AI,2.046,0.088,1.178
AI,1.601,0.088,0.825
AI,1.489,0.112,5.628
AI,1.463,0.112,5.688
AI,1.452,0.112,3.717
AI,1.456,0.112,2.296
AI,1.472,0.048,1.487
AI,1.514,0.048,6.083
AI,1.560,0.048,4.342
AI,1.609,0.048,3.212
AI,1.659,0.048,2.528
AI,1.710,0.008,2.150
AI,1.678,0.008,8.439
AI,1.646,0.008,5.926
AI,1.613,0.008,4.163
AI,1.581,0.008,2.932
AI,1.548,0.003,2.076
AI,1.459,0.003,19.699
AI,1.370,0.003,13.793
AI,1.282,0.003,9.660
AI,1.195,0.003,6.752
AI,1.109,0.011,4.745
AI,1.144,0.011,10.897
AI,1.151,0.011,7.635
AI,1.152,0.011,5.381
AI,1.152,0.011,3.790
AI,1.153,0.012,2.670
AI,1.239,0.012,5.370
AI,1.326,0.012,3.694
AI,1.414,0.012,2.521
AI,1.504,0.012,1.703
AI,1.593,0.050,1.133
AI,1.682,0.050,17.496
AI,1.771,0.050,12.217
AI,1.860,0.050,8.491
AI,1.950,0.050,5.942
AI,2.040,0.012,4.148
AI,2.133,0.012,12.822
AI,2.225,0.012,8.960
AI,2.318,0.012,6.316
AI,2.411,0.012,4.449
AI,2.504,0.008,3.136
AI,2.590,0.008,3.882
AI,2.676,0.008,2.766
AI,2.762,0.008,1.996
AI,2.849,0.008,1.473
AI,2.936,0.008,1.126
AI,3.030,0.008,8.576
AI,3.124,0.008,6.022
AI,3.218,0.008,4.221
AI,3.312,0.008,2.956
AI,3.406,0.007,2.068
AI,3.500,0.007,0.890
AI,3.594,0.007,0.623
AI,3.689,0.007,0.435
AI,3.783,0.007,0.301
AI,3.877,0.026,0.210
AI,3.971,0.026,5.368
AI,4.065,0.026,3.765
AI,4.159,0.026,2.640
AI,4.253,0.026,1.852
AI,4.347,0.036,1.300
AI,4.440,0.036,3.775
AI,4.533,0.036,2.636
AI,4.626,0.036,1.838
AI,4.720,0.036,1.280
AI,4.813,0.060,0.892
AI,4.789,0.060,3.777
AI,4.719,0.060,2.689
AI,4.651,0.060,1.974
AI,4.585,0.060,1.543
AI,4.523,0.003,1.322
AI,4.407,0.003,6.194
AI,4.292,0.003,4.347
AI,4.175,0.003,3.047
AI,4.059,0.003,2.132
AI,3.943,0.034,6.133
AI,3.412,0.034,1.920
AI,2.891,0.034,1.344
AI,2.382,0.034,0.940
AI,1.891,0.034,0.659
AI,1.432,0.034,0.461
AI,1.335,0.071,4.802
AI,1.403,0.071,5.107
AI,1.488,0.071,3.509
AI,1.584,0.071,2.455
AI,1.688,0.031,1.821
AI,1.664,0.031,2.463
AI,1.640,0.031,1.751
AI,1.617,0.031,1.289
AI,1.594,0.031,1.015
AI,1.572,0.017,0.882
AI,1.512,0.017,6.903
AI,1.457,0.017,4.865
AI,1.405,0.017,3.519
AI,1.358,0.017,2.733
AI,1.314,0.014,2.393
AI,1.229,0.014,20.236
AI,1.263,0.014,14.180
AI,1.264,0.014,9.943
AI,1.258,0.014,6.959
AI,1.251,0.008,4.896
AI,1.282,0.008,15.300
AI,1.301,0.008,10.724
AI,1.303,0.008,7.498
AI,1.289,0.008,5.274
AI,1.202,0.001,3.705
AI,1.255,0.001,5.150
AI,1.273,0.001,3.608
AI,1.283,0.001,2.526
AI,1.290,0.001,1.768
AI,1.296,0.004,1.237
AI,1.304,0.004,4.391
AI,1.299,0.004,3.076
AI,1.212,0.004,2.154
AI,1.235,0.004,1.509
AI,1.149,0.005,1.059
AI,1.176,0.005,9.737
AI,1.170,0.005,6.800
AI,1.158,0.005,4.771
AI,1.144,0.005,3.344
AI,1.131,0.027,2.343
AI,1.155,0.027,12.518
AI,1.194,0.027,8.728
AI,1.230,0.027,6.133
AI,1.258,0.027,4.302
AI,1.279,0.011,3.014
AI,1.364,0.011,6.697
AI,1.451,0.011,4.627
AI,1.539,0.011,3.180
AI,1.627,0.011,2.178
AI,1.716,0.013,1.491
AI,1.807,0.013,9.998
AI,1.899,0.013,6.975
AI,1.991,0.013,4.889
AI,2.084,0.013,3.422
AI,2.176,0.002,2.393
AI,2.269,0.002,4.099
AI,2.362,0.002,2.871
AI,2.455,0.002,2.010
AI,2.548,0.002,1.408
AI,2.642,0.009,0.984
AI,2.735,0.009,3.621
AI,2.829,0.009,2.533
AI,2.923,0.009,1.770
AI,3.017,0.009,1.236
AI,3.111,0.023,0.861
AI,3.204,0.023,4.197
AI,3.238,0.023,2.941
AI,3.273,0.023,2.061
AI,3.307,0.023,1.444
AI,3.342,0.023,1.012
AI,3.474,0.023,0.946
AI,3.606,0.023,0.674
AI,3.739,0.023,0.505
AI,3.872,0.023,0.410
AI,4.006,0.054,0.364
AI,4.048,0.054,7.345
AI,4.090,0.054,5.155
AI,4.133,0.054,3.613
AI,4.176,0.054,2.532
AI,4.219,0.010,1.775
AI,4.308,0.010,7.681
AI,4.398,0.010,5.401
AI,4.489,0.010,3.800
AI,4.580,0.010,2.683
AI,4.672,0.014,1.911
AI,4.717,0.014,2.749
AI,4.763,0.014,1.944
AI,4.809,0.014,1.385
AI,4.855,0.014,0.997
AI,4.902,0.076,0.732
AI,4.942,0.076,7.436
AI,4.983,0.076,5.217
AI,5.024,0.076,3.659
AI,5.067,0.076,2.571
AI,5.110,0.097,1.818
AI,5.168,0.097,7.464
AI,5.228,0.097,5.237
AI,5.289,0.097,3.673
AI,5.351,0.097,2.583
AI,5.413,0.063,1.831
AI,5.487,0.063,8.042
AI,5.562,0.063,5.646
AI,5.638,0.063,3.959
AI,5.714,0.063,2.778
AI,5.791,0.039,1.954
AI,5.706,0.039,4.694
AI,5.622,0.039,3.313
AI,5.537,0.039,2.348
AI,5.452,0.039,1.679
AI,5.368,0.114,1.219
AI,5.351,0.114,3.251
AI,5.335,0.114,2.351
AI,5.319,0.114,1.746
AI,5.305,0.114,1.354
AI,5.291,0.104,1.115
AI,5.370,0.104,7.768
AI,5.448,0.104,5.419
AI,5.527,0.104,3.769
AI,5.605,0.104,2.620
AI,5.684,0.104,1.825
AI,5.615,0.104,2.385
AI,5.546,0.104,1.750
AI,5.477,0.104,1.322
AI,5.408,0.104,1.041
AI,5.339,0.165,0.865
AI,5.380,0.165,4.042
AI,5.421,0.165,2.860
AI,5.463,0.165,2.052
AI,5.504,0.165,1.513
AI,5.546,0.002,1.169
AI,5.451,0.002,4.680
AI,5.356,0.002,3.285
AI,5.261,0.002,2.307
AI,5.167,0.002,1.620
AI,5.072,0.047,1.140
AI,4.990,0.047,2.542
AI,4.908,0.047,1.779
AI,4.826,0.047,1.256
AI,4.744,0.047,0.907
AI,4.663,0.115,0.688
AI,4.704,0.115,6.521
AI,4.746,0.115,4.599
AI,4.788,0.115,3.263
AI,4.831,0.115,2.346
AI,4.874,0.065,1.733
AI,4.941,0.065,3.309
AI,4.957,0.065,2.339
AI,4.971,0.065,1.670
AI,4.985,0.065,1.213
AI,4.998,0.051,0.909
AI,5.024,0.051,4.126
AI,5.049,0.051,2.905
AI,5.075,0.051,2.056
AI,5.100,0.051,1.472
AI,5.125,0.064,1.077
AI,5.157,0.064,5.834
AI,5.188,0.064,4.093
AI,5.219,0.064,2.870
AI,5.250,0.064,2.014
AI,5.280,0.030,1.417
AI,5.319,0.030,2.029
AI,5.359,0.030,1.409
AI,5.398,0.030,0.978
AI,5.438,0.030,0.681
AI,5.478,0.038,0.483
AI,5.515,0.038,5.708
AI,5.551,0.038,4.000
AI,5.588,0.038,2.801
AI,5.624,0.038,1.960
AI,5.661,0.025,1.372
AI,5.696,0.025,3.750
AI,5.731,0.025,2.623
AI,5.766,0.025,1.834
AI,5.802,0.025,1.283
AI,5.837,0.070,0.898
AI,5.778,0.070,2.892
AI,5.720,0.070,2.041
AI,5.663,0.070,1.462
AI,5.606,0.070,1.081
AI,5.550,0.145,0.846
AI,5.613,0.145,7.450
AI,5.677,0.145,5.233
AI,5.740,0.145,3.678
AI,5.804,0.145,2.597
AI,5.868,0.010,1.853
AI,5.774,0.010,4.066
AI,5.679,0.010,2.878
AI,5.585,0.010,2.042
AI,5.490,0.010,1.455
AI,5.396,0.123,1.041
AI,5.392,0.123,2.209
AI,5.389,0.123,1.546
AI,5.387,0.123,1.119
AI,5.386,0.123,0.875
AI,5.386,0.093,0.761
AI,5.423,0.093,1.822
AI,5.460,0.093,1.410
AI,5.498,0.093,1.148
AI,5.536,0.093,0.991
AI,5.573,0.169,0.898
AI,5.539,0.169,3.277
AI,5.504,0.169,2.375
AI,5.470,0.169,1.768
AI,5.436,0.169,1.373
AI,5.401,0.205,1.128
AI,5.435,0.205,6.643
AI,5.469,0.205,4.675
AI,5.503,0.205,3.307
AI,5.537,0.205,2.367
AI,5.571,0.075,1.736
AI,5.499,0.075,5.237
AI,5.426,0.075,3.703
AI,5.353,0.075,2.636
AI,5.280,0.075,1.902
AI,5.207,0.127,1.406
AI,5.146,0.127,3.802
AI,5.086,0.127,2.709
AI,5.025,0.127,1.961
AI,4.964,0.127,1.464
AI,4.904,0.151,1.146
AI,4.893,0.151,4.443
AI,4.882,0.151,3.181
AI,4.872,0.151,2.323
AI,4.862,0.151,1.757
AI,4.852,0.148,1.400
