Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
Human,6.423,0.625,0.000,-2.000
Human,6.423,0.209,22.455,-2.000
Human,6.423,0.150,17.815,-2.000
Human,6.422,0.426,14.197,-2.000
Human,6.420,0.623,11.303,-2.000
Human,6.419,0.756,8.987,-2.000
Human,6.363,0.848,7.134,-2.000
Human,6.307,0.907,5.555,-2.000
Human,6.251,0.944,4.342,-2.000
Human,6.194,0.967,3.360,-2.000
Human,6.138,0.981,2.568,-2.000
Human,6.138,0.989,1.930,-2.000
Human,6.139,0.994,1.487,-2.000
Human,6.139,0.996,1.132,-2.000
Human,6.139,0.998,0.848,-2.000
Human,6.138,0.999,0.621,-2.000
Human,6.139,1.000,0.438,-2.000
Human,6.140,1.000,0.192,-2.000
Human,6.141,1.000,0.000,-2.000
Human,6.141,1.000,0.154,-2.000
Human,6.142,0.999,0.276,-2.000
Human,6.143,0.999,0.378,-2.000
Human,6.144,0.999,0.459,-2.000
Human,6.144,0.998,0.522,-2.000
Human,6.145,0.998,0.574,-2.000
Human,6.146,0.998,0.614,-2.000
Human,6.147,0.998,0.647,-2.000
Human,6.147,0.998,0.673,-2.000
Human,6.148,0.997,0.693,-2.000
Human,6.149,0.997,0.710,-2.000
Human,6.150,0.997,0.724,-2.000
Human,6.150,0.997,0.734,-2.000
Human,6.151,0.997,0.742,-2.000
Human,6.152,0.997,0.749,-2.000
Human,6.152,0.997,0.755,-2.000
Human,6.153,0.997,0.760,-2.000
Human,6.154,0.997,0.763,-2.000
Human,6.155,0.997,0.765,-2.000
Human,6.155,0.997,0.767,-2.000
Human,6.156,0.997,0.770,-2.000
Human,6.157,0.997,0.770,-2.000
Human,6.158,0.997,0.771,-2.000
Human,6.158,0.997,0.772,-2.000
Human,6.159,0.997,0.774,-2.000
Human,6.160,0.997,0.774,-2.000
Human,6.161,0.997,0.774,-2.000
Human,6.161,0.997,0.775,-2.000
Human,6.162,0.997,0.774,-2.000
Human,6.163,0.997,0.774,-2.000
Human,6.164,0.997,0.774,-2.000
Human,6.164,0.997,0.775,-2.000
Human,6.165,0.997,0.774,-2.000
Human,6.166,0.997,0.774,-2.000
Human,6.166,0.997,0.774,-2.000
Human,6.167,0.997,0.774,-2.000
Human,6.168,0.997,0.774,-2.000
Human,6.169,0.997,0.775,-2.000
Human,6.169,0.997,0.776,-2.000
Human,6.170,0.997,0.775,-2.000
Human,6.171,0.997,0.775,-2.000
Human,6.172,0.997,0.775,-2.000
Human,6.172,0.997,0.774,-2.000
Human,6.173,0.997,0.775,-2.000
Human,6.174,0.997,0.774,-2.000
Human,6.175,0.997,0.774,-2.000
Human,6.175,0.997,0.775,-2.000
Human,6.176,0.077,0.774,0.020
Human,5.526,0.077,3.872,-2.000
Human,4.881,0.077,0.000,-2.000
Human,4.241,0.077,0.000,-2.000
Human,3.608,0.077,0.000,-2.000
Human,3.095,0.077,0.000,-2.000
Human,2.590,0.042,0.000,-2.000
Human,2.553,0.040,0.416,-2.000
Human,2.516,0.038,0.397,-2.000
Human,2.480,0.037,0.383,-2.000
Human,2.372,0.005,0.370,-2.000
Human,2.267,0.023,0.000,-2.000
Human,2.163,0.046,0.224,-2.000
Human,2.061,0.066,0.461,-2.000
Human,1.962,0.084,0.665,-2.000
Human,1.861,0.035,0.844,-2.000
Human,1.762,0.000,0.345,-2.000
Human,1.758,0.000,0.000,-2.000
Human,1.755,0.000,0.718,-2.000
Human,1.754,0.000,1.214,-2.000
Human,1.761,0.000,1.576,-2.000
Human,1.769,0.000,1.538,-2.000
Human,1.780,0.000,1.634,-2.000
Human,1.792,0.000,1.775,-2.000
Human,1.807,0.000,1.916,-2.000
Human,1.806,0.000,2.039,-2.000
Human,1.808,0.000,1.914,-2.000
Human,1.812,0.000,1.909,-2.000
Human,1.817,0.000,1.966,-2.000
Human,1.825,0.000,2.046,-2.000
Human,1.811,0.000,2.130,-2.000
Human,1.798,0.000,1.983,-2.000
Human,1.787,0.000,1.955,-2.000
Human,1.779,0.000,1.993,-2.000
Human,1.772,0.000,2.064,-2.000
Human,1.725,0.000,2.145,-2.000
Human,1.679,0.000,2.158,-2.000
Human,1.633,0.000,2.174,-2.000
Human,1.589,0.000,1.387,-2.000
Human,1.545,0.000,3.211,-2.000
Human,1.545,0.000,4.611,-2.000
Human,1.545,0.000,5.558,-2.000
Human,1.545,0.000,6.234,-2.000
Human,1.545,0.000,6.713,-2.000
Human,1.545,0.000,7.050,-2.000
Human,1.545,0.000,7.288,-2.000
Human,1.545,0.000,7.456,-2.000
Human,1.545,0.000,7.574,-2.000
Human,1.545,0.000,7.657,-2.000
Human,1.545,0.000,7.715,-2.000
Human,1.545,0.000,7.756,-2.000
Human,1.545,0.000,7.785,-2.000
Human,1.545,0.000,7.806,-2.000
Human,1.545,0.000,3.915,-2.000
Human,1.545,0.000,1.173,-2.000
Human,1.545,0.000,0.751,-2.000
Human,1.545,0.000,2.095,-2.000
Human,1.545,0.000,3.036,-2.000
Human,1.545,0.000,3.695,-2.000
Human,1.545,0.000,4.156,-2.000
Human,1.545,0.000,4.479,-2.000
Human,1.545,0.000,4.705,-2.000
Human,1.545,0.000,4.864,-2.000
Human,1.545,0.000,4.975,-2.000
Human,1.545,0.000,5.053,-2.000
Human,1.545,0.000,5.108,-2.000
Human,1.545,0.000,5.146,-2.000
Human,1.636,0.000,5.173,-2.000
Human,1.727,0.000,3.626,-2.000
Human,1.818,0.000,2.540,-2.000
Human,1.910,0.000,1.778,-2.000
Human,2.002,0.000,1.243,-2.000
Human,2.094,0.000,0.869,-2.000
Human,2.187,0.000,0.607,-2.000
Human,2.280,0.000,0.424,-2.000
Human,2.373,0.000,0.295,-2.000
Human,2.466,0.000,0.204,-2.000
Human,2.559,0.000,0.142,-2.000
Human,2.653,0.000,0.000,-2.000
Human,2.747,0.000,0.000,-2.000
Human,2.840,0.000,0.000,-2.000
Human,2.934,0.000,0.000,-2.000
Human,3.028,0.000,0.000,-2.000
Human,3.122,0.000,0.000,-2.000
Human,3.216,0.000,0.000,-2.000
Human,3.310,0.000,0.000,-2.000
Human,3.405,0.000,0.000,-2.000
Human,3.499,0.000,0.000,-2.000
Human,3.593,0.000,0.000,-2.000
Human,3.688,0.000,0.000,-2.000
Human,3.782,0.000,0.000,-2.000
Human,3.817,0.001,0.000,-2.000
Human,3.852,0.001,0.000,-2.000
Human,3.887,0.001,0.000,-2.000
Human,3.922,0.002,0.000,-2.000
Human,4.003,0.013,0.000,-2.000
Human,4.084,0.025,0.000,-2.000
Human,4.166,0.034,0.249,-2.000
Human,4.249,0.041,0.342,-2.000
Human,4.333,0.047,0.413,-2.000
Human,4.416,0.051,0.466,-2.000
Human,4.500,0.054,0.507,-2.000
Human,4.585,0.056,0.538,-2.000
Human,4.671,0.058,0.560,-2.000
Human,4.757,0.059,0.575,-2.000
Human,4.831,0.035,0.585,-2.000
Human,4.906,0.017,0.350,-2.000
Human,4.982,0.002,0.162,-2.000
Human,5.058,1.000,0.000,-2.000
Human,5.042,0.999,0.000,-2.000
Human,5.022,0.038,0.381,-2.000
Human,5.097,1.000,0.383,-2.000
Human,5.077,1.000,0.195,-2.000
Human,5.057,1.000,0.232,-2.000
Human,5.036,1.000,0.261,-2.000
Human,5.000,0.052,0.289,-1.000
Human,5.058,0.999,0.514,-2.000
Human,5.024,0.069,0.505,-2.000
Human,5.084,0.998,0.691,-2.000
Human,5.052,0.997,0.648,-2.000
Human,5.053,0.997,0.806,-2.000
Human,5.054,0.996,0.834,-2.000
Human,5.055,0.996,0.857,-2.000
Human,5.056,0.996,0.875,-2.000
Human,5.057,0.996,0.890,-2.000
Human,5.057,0.996,0.901,-2.000
Human,5.058,0.996,0.910,-2.000
Human,5.059,0.996,0.917,-2.000
Human,5.060,0.996,0.923,-2.000
Human,5.061,0.996,0.928,-2.000
Human,5.062,0.996,0.931,-2.000
Human,5.063,0.996,0.934,-2.000
Human,5.064,0.996,0.937,-2.000
Human,5.065,0.996,0.939,-2.000
Human,5.065,0.996,0.940,-2.000
Human,5.066,0.996,0.941,-2.000
Human,5.067,0.996,0.942,-2.000
Human,5.068,0.996,0.942,-2.000
Human,5.069,0.996,0.942,-2.000
Human,5.070,0.996,0.942,-2.000
Human,5.071,0.996,0.943,-2.000
Human,5.072,0.996,0.944,-2.000
Human,5.073,0.996,0.944,-2.000
Human,5.074,0.996,0.943,-2.000
Human,5.074,0.996,0.943,-2.000
Human,5.075,0.996,0.943,-2.000
Human,5.076,0.996,0.943,-2.000
Human,5.077,0.996,0.943,-2.000
Human,5.078,0.996,0.942,-2.000
Human,5.079,0.996,0.943,-2.000
Human,5.080,0.996,0.943,-2.000
Human,5.081,0.996,0.942,-2.000
Human,5.082,0.996,0.942,-2.000
Human,5.082,0.996,0.942,-2.000
Human,5.083,0.996,0.942,-2.000
Human,5.084,0.996,0.942,-2.000
Human,5.085,0.996,0.942,-2.000
Human,5.086,0.996,0.942,-2.000
Human,5.087,0.996,0.942,-2.000
Human,5.088,0.996,0.942,-2.000
Human,5.089,0.996,0.942,-2.000
Human,5.090,0.996,0.942,-2.000
Human,5.091,0.996,0.942,-2.000
Human,5.091,0.996,0.941,-2.000
Human,5.092,0.996,0.941,-2.000
Human,5.093,0.996,0.940,-2.000
Human,5.094,0.996,0.941,-2.000
Human,5.095,0.996,0.940,-2.000
Human,5.096,0.996,0.940,-2.000
Human,5.097,0.996,0.940,-2.000
Human,5.098,0.094,0.940,0.020
Human,4.446,0.094,4.700,-2.000
Human,3.800,0.094,0.000,-2.000
Human,3.161,0.094,0.000,-2.000
Human,2.530,0.094,0.000,-2.000
Human,1.997,0.094,0.000,-2.000
Human,1.480,0.000,0.000,-2.000
Human,1.512,0.000,0.798,-2.000
Human,1.545,0.000,1.153,-2.000
Human,1.579,0.000,1.510,-2.000
Human,1.539,0.000,1.779,-2.000
Human,1.499,0.000,1.647,-2.000
Human,1.461,0.000,1.654,-2.000
Human,1.424,0.000,1.735,-2.000
Human,1.389,0.000,1.850,-2.000
Human,1.342,0.000,1.977,-2.000
Human,1.297,0.000,1.908,-2.000
Human,1.279,0.000,1.908,-2.000
Human,1.277,0.000,1.925,-2.000
Human,1.278,0.000,1.937,-2.000
Human,1.271,0.000,1.945,-2.000
Human,1.261,0.000,1.950,-2.000
Human,1.251,0.000,1.954,-2.000
Human,1.240,0.000,1.957,-2.000
Human,1.229,0.000,1.959,-2.000
Human,1.228,0.000,1.960,-2.000
Human,1.229,0.000,1.961,-2.000
Human,1.230,0.000,1.962,-2.000
Human,1.232,0.000,0.982,-2.000
Human,1.233,0.000,3.043,-2.000
Human,1.233,0.000,4.483,-2.000
Human,1.233,0.000,5.490,-2.000
Human,1.233,0.000,6.195,-2.000
Human,1.233,0.000,6.690,-2.000
Human,1.233,0.000,7.036,-2.000
Human,1.244,0.000,7.280,-2.000
Human,1.264,0.000,7.450,-2.000
Human,1.281,0.000,7.570,-2.000
Human,1.293,0.000,7.655,-2.000
Human,1.301,0.000,7.714,-2.000
Human,1.303,0.000,7.755,-2.000
Human,1.304,0.000,7.785,-2.000
Human,1.304,0.000,7.805,-2.000
Human,1.304,0.000,3.914,-2.000
Human,1.304,0.000,1.171,-2.000
Human,1.304,0.000,0.749,-2.000
Human,1.304,0.000,2.095,-2.000
Human,1.304,0.000,3.036,-2.000
Human,1.304,0.000,3.695,-2.000
Human,1.304,0.000,4.156,-2.000
Human,1.304,0.000,4.479,-2.000
Human,1.304,0.000,4.705,-2.000
